,Inj_0,Int_0,Inj_1,Int_1,Inj_2,Int_2,Inj_3,Int_3,Inj_4,Int_4,Inj_5,Int_5,Inj_6,Int_6,Inj_7,Int_7,Inj_8,Int_8,Inj_9,Int_9
1,252,402,552,702,852,1002,1152,1302,1452,1602,1752,1902,2052,2202,2352,2502,2652,2802,2952,3102
2,151,301,451,601,751,901,1051,1201,1351,1501,1651,1801,1951,2101,2251,2401,2551,2701,2851,3001
3,42,192,342,492,642,792,942,1092,1242,1392,1542,1692,1842,1992,2142,2292,2442,2592,2742,2892
4,66,216,366,516,666,816,966,1116,1266,1416,1566,1716,1866,2016,2166,2316,2466,2616,2766,2916
5,70,220,370,520,670,820,970,1120,1270,1420,1570,1720,1870,2020,2170,2320,2470,2620,2770,2920
6,73,223,373,523,673,823,973,1123,1273,1423,1573,1723,1873,2023,2173,2323,2473,2623,2773,2923
7,18,168,318,468,618,768,918,1068,1218,1368,1518,1668,1818,1968,2118,2268,2418,2568,2718,2868
8,229,379,529,679,829,979,1129,1279,1429,1579,1729,1879,2029,2179,2329,2479,2629,2779,2929,3079
9,57,207,357,507,657,807,957,1107,1257,1407,1557,1707,1857,2007,2157,2307,2457,2607,2757,2907
10,72,222,372,522,672,822,972,1122,1272,1422,1572,1722,1872,2022,2172,2322,2472,2622,2772,2922
11,243,393,543,693,843,993,1143,1293,1443,1593,1743,1893,2043,2193,2343,2493,2643,2793,2943,3093
12,298,448,598,748,898,1048,1198,1348,1498,1648,1798,1948,2098,2248,2398,2548,2698,2848,2998,3148
13,13,163,313,463,613,763,913,1063,1213,1363,1513,1663,1813,1963,2113,2263,2413,2563,2713,2863
14,70,220,370,520,670,820,970,1120,1270,1420,1570,1720,1870,2020,2170,2320,2470,2620,2770,2920
15,48,198,348,498,648,798,948,1098,1248,1398,1548,1698,1848,1998,2148,2298,2448,2598,2748,2898
16,205,355,805,955,1405,1555,2005,2155,2605,2755,,,,,,,,,,
17,584,734,1184,1334,1784,1934,2384,2534,2984,3134,,,,,,,,,,
18,158,308,758,908,1358,1508,1958,2108,2558,2708,,,,,,,,,,
19,112,262,712,862,1312,1462,1912,2062,2512,2662,,,,,,,,,,
20,230,380,830,980,1430,1580,2030,2180,2630,2780,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,169,319,769,919,1369,1519,1969,2119,2569,2719,,,,,,,,,,
23,237,387,837,987,1437,1587,2037,2187,2637,2787,,,,,,,,,,
24,19,169,619,769,1219,1369,1819,1969,2419,2569,,,,,,,,,,
25,195,345,795,945,1395,1545,1995,2145,2595,2745,,,,,,,,,,
26,406,556,1006,1156,1606,1756,2206,2356,2806,2956,,,,,,,,,,
27,202,352,802,952,1402,1552,2002,2152,2602,2752,,,,,,,,,,
28,155,305,755,905,1355,1505,1955,2105,2555,2705,,,,,,,,,,
29,570,720,1170,1320,1770,1920,2370,2520,2970,3120,,,,,,,,,,
30,464,614,1064,1214,1664,1814,2264,2414,2864,3014,,,,,,,,,,
31,331,481,931,1081,1531,1681,2131,2281,2731,2881,,,,,,,,,,
32,104,254,554,704,1004,1154,1454,1604,1904,2054,2354,2504,2804,2954,,,,,,
33,117,267,567,717,1017,1167,1467,1617,1917,2067,2367,2517,2817,2967,,,,,,
34,215,365,665,815,1115,1265,1565,1715,2015,2165,2465,2615,2915,3065,,,,,,
35,343,493,793,943,1243,1393,1693,1843,2143,2293,2593,2743,3043,3193,,,,,,
36,178,328,628,778,1078,1228,1528,1678,1978,2128,2428,2578,2878,3028,,,,,,
37,80,230,530,680,980,1130,1430,1580,1880,2030,2330,2480,2780,2930,,,,,,
38,1,151,451,601,901,1051,1351,1501,1801,1951,2251,2401,2701,2851,,,,,,
39,57,207,507,657,957,1107,1407,1557,1857,2007,2307,2457,2757,2907,,,,,,
40,270,420,720,870,1170,1320,1620,1770,2070,2220,2520,2670,2970,3120,,,,,,
41,119,269,569,719,1019,1169,1469,1619,1919,2069,2369,2519,2819,2969,,,,,,
42,243,393,693,843,1143,1293,1593,1743,2043,2193,2493,2643,2943,3093,,,,,,
43,197,347,647,797,1097,1247,1547,1697,1997,2147,2447,2597,2897,3047,,,,,,
44,118,268,568,718,1018,1168,1468,1618,1918,2068,2368,2518,2818,2968,,,,,,
45,209,359,659,809,1109,1259,1559,1709,2009,2159,2459,2609,2909,3059,,,,,,
46,67,217,517,667,967,1117,1417,1567,1867,2017,2317,2467,2767,2917,,,,,,
